EvidenceFile,SHA256,SizeBytes,CollectionFilenameTimeSingapore,SourceHost,CollectedBy,Storage
Security-20260906-114959.evtx,F5256DF515FFE8AE95674385807777EAE44C78899394D8E95879FF9AFFDE19A1,21041152,2026-09-06T11:49:59+08:00,WIN11-SOC-LAB,SOC,Private
Sysmon-Operational-20260906-114959.evtx,AE0741FAB18A0E609F11F59D906FD47AAEC8333ACB464B21072567AE7B246802,6361088,2026-09-06T11:49:59+08:00,WIN11-SOC-LAB,SOC,Private
